Comment,Designator,Footprint
"S9013 J3(RANGE:200-350) C6749","Q8,Q2,Q4,Q5,Q1,Q7,Q6","SOT-23"
"Conn_01x03_Male","J1,J3","PinHeader_1x03_P2.54mm_Vertical"
"S9015(Range:300-400) C2149","Q3","SOT-23"
"ESP8266_D1mini","U1","ESP8266_D1mini"
"0402WGF1002TCE C25744","R2,R8,R6,R11,R1","R_0402_1005Metric"
"0402WGF1000TCE C25076","R5","R_0402_1005Metric"
"",",,",""
"Conn_01x07_Male","J2","PinHeader_1x07_P2.54mm_Vertical"
"0402WGF3902TCE C25783","R12,R10,R9,R13,R7,R4","R_0402_1005Metric"
"0402WGF1502TCE C25756","R3","R_0402_1005Metric"
"D_Photo","D1","LED_D5.0mm"
"IR LED","D2","LED_D5.0mm"